"","X","Collection_Timestamp","Result","Units","Start_36hr_Period","Mean_Water_Temp","Total_Precipitation","log_transformed","sqrt_transformed","ln_transformed"
"14",14,"2008-10-09 08:46:00",0.002,"mg/L","2008-10-07 20:46:00",10.0437361134257,12,-2.69897000433602,0.0447213595499958,-6.21460809842219
"15",15,"2008-11-06 09:55:00",0.01,"mg/L","2008-11-04 21:55:00",7.03645949433987,0.2,-2,0.1,-4.60517018598809
"16",16,"2009-03-18 09:20:00",0.009,"mg/L","2009-03-16 21:20:00",2.71458333333333,0,-2.04575749056068,0.0948683298050514,-4.71053070164592
"17",17,"2009-04-06 09:40:00",0.011,"mg/L","2009-04-04 21:40:00",4.96145717977963,13.4,-1.95860731484178,0.104880884817015,-4.50986000618377
"18",18,"2009-05-05 09:35:00",0.013,"mg/L","2009-05-03 21:35:00",10.5677118094093,6.4,-1.88605664769316,0.114017542509914,-4.3428059215206
"19",19,"2009-06-15 10:00:00",0.009,"mg/L","2009-06-13 22:00:00",14.1437546219225,0,-2.04575749056068,0.0948683298050514,-4.71053070164592
"20",20,"2009-07-14 09:40:00",0.011,"mg/L","2009-07-12 21:40:00",16.5927187384391,0,-1.95860731484178,0.104880884817015,-4.50986000618377
"21",21,"2009-08-10 10:10:00",0.01,"mg/L","2009-08-08 22:10:00",16.5684181286549,29,-2,0.1,-4.60517018598809
"22",22,"2009-09-14 09:00:00",0.003,"mg/L","2009-09-12 21:00:00",15.5200148148147,0,-2.52287874528034,0.0547722557505166,-5.80914299031403
"23",23,"2009-10-19 09:00:00",0.004,"mg/L","2009-10-17 21:00:00",7.18541203703738,0,-2.39794000867204,0.0632455532033676,-5.52146091786225
"24",24,"2009-11-23 08:55:00",0.018,"mg/L","2009-11-21 20:55:00",6.76458333333333,0,-1.74472749489669,0.134164078649987,-4.01738352108597
"25",25,"2010-04-08 09:20:00",0.023,"mg/L","2010-04-06 21:20:00",9.22083333333334,30.2,-1.63827216398241,0.151657508881031,-3.77226106305299
"26",26,"2010-04-19 09:15:00",0.023,"mg/L","2010-04-17 21:15:00",9.12083333333333,0.2,-1.63827216398241,0.151657508881031,-3.77226106305299
"27",27,"2010-05-25 09:31:00",0.004,"mg/L","2010-05-23 21:31:00",14.8197916666666,0,-2.39794000867204,0.0632455532033676,-5.52146091786225
"28",28,"2010-06-21 09:20:00",0.009,"mg/L","2010-06-19 21:20:00",16.9104166666666,20,-2.04575749056068,0.0948683298050514,-4.71053070164592
"29",29,"2010-07-19 09:20:00",0.021,"mg/L","2010-07-17 21:20:00",18.93125,6,-1.67778070526608,0.144913767461894,-3.86323284125871
"30",30,"2010-08-16 09:40:00",0.02,"mg/L","2010-08-14 21:40:00",18.8843645948948,0.4,-1.69897000433602,0.14142135623731,-3.91202300542815
"31",31,"2010-09-20 09:35:00",0.015,"mg/L","2010-09-18 21:35:00",13.6072997595263,0.2,-1.82390874094432,0.122474487139159,-4.19970507787993
"32",32,"2010-10-26 09:40:00",0.002,"mg/L","2010-10-24 21:40:00",9.69999999999999,11.8,-2.69897000433602,0.0447213595499958,-6.21460809842219
"33",33,"2010-11-24 09:45:00",0.017,"mg/L","2010-11-22 21:45:00",6.68510638297872,10.2,-1.76955107862173,0.130384048104053,-4.07454193492592
"34",34,"2011-03-11 16:25:00",0.064,"mg/L","2011-03-10 04:25:00",1.35416666666665,37.2,-1.19382002601611,0.25298221281347,-2.74887219562247
"35",35,"2011-04-11 09:45:00",0.026,"mg/L","2011-04-09 21:45:00",4.83124999999999,6.2,-1.58502665202918,0.161245154965971,-3.64965874096066
"36",36,"2011-05-17 09:35:00",0.029,"mg/L","2011-05-15 21:35:00",11.0458333333333,7,-1.53760200210104,0.170293863659264,-3.54045944899566
"37",37,"2011-06-20 09:10:00",0.031,"mg/L","2011-06-18 21:10:00",15.8458333333333,0,-1.50863830616573,0.17606816861659,-3.47376807449699
"38",38,"2011-07-18 09:40:00",0.045,"mg/L","2011-07-16 21:40:00",17.6541666666666,0,-1.34678748622466,0.212132034355964,-3.10109278921182
"39",39,"2011-09-12 09:25:00",0.034,"mg/L","2011-09-10 21:25:00",15.7333333333333,0,-1.46852108295774,0.184390889145858,-3.38139475436598
"40",40,"2011-11-17 10:10:00",0.021,"mg/L","2011-11-15 22:10:00",7.98541666666667,0,-1.67778070526608,0.144913767461894,-3.86323284125871
"41",41,"2012-04-16 09:10:00",0.016,"mg/L","2012-04-14 21:10:00",8.08645833333318,4.6,-1.79588001734408,0.126491106406735,-4.13516655674236
"42",42,"2012-05-05 09:15:00",0.019,"mg/L","2012-05-03 21:15:00",10.925,7.6,-1.72124639904717,0.137840487520902,-3.9633162998157
"43",43,"2012-06-18 09:00:00",0.019,"mg/L","2012-06-16 21:00:00",17.6625,4.2,-1.72124639904717,0.137840487520902,-3.9633162998157
"44",44,"2012-07-16 09:00:00",0.024,"mg/L","2012-07-14 21:00:00",19.3739583333333,0,-1.61978875828839,0.154919333848297,-3.72970144863419
"45",45,"2012-08-13 09:00:00",0.022,"mg/L","2012-08-11 21:00:00",17.9444444444444,1.8,-1.65757731917779,0.148323969741913,-3.81671282562382
"46",46,"2012-09-12 09:20:00",0.028,"mg/L","2012-09-10 21:20:00",15.8007740402899,0,-1.55284196865778,0.167332005306815,-3.57555076880693
"47",47,"2012-10-15 09:20:00",0.016,"mg/L","2012-10-13 21:20:00",9.75624999999998,21.6,-1.79588001734408,0.126491106406735,-4.13516655674236
"48",48,"2012-11-13 09:15:00",0.042,"mg/L","2012-11-11 21:15:00",7.06666666666692,8.8,-1.3767507096021,0.204939015319192,-3.17008566069877
"49",49,"2013-04-18 09:10:00",0.015,"mg/L","2013-04-16 21:10:00",5.94479166666661,7.8,-1.82390874094432,0.122474487139159,-4.19970507787993
"50",50,"2013-05-16 09:20:00",0.019,"mg/L","2013-05-14 21:20:00",10.95,0.4,-1.72124639904717,0.137840487520902,-3.9633162998157
"51",51,"2013-06-17 09:45:00",0.03,"mg/L","2013-06-15 21:45:00",15.0499999999997,10.8,-1.52287874528034,0.173205080756888,-3.50655789731998
"52",52,"2013-07-09 09:20:00",0.045,"mg/L","2013-07-07 21:20:00",17.6520833333333,0.6,-1.34678748622466,0.212132034355964,-3.10109278921182
"53",53,"2013-08-13 09:30:00",0.015,"mg/L","2013-08-11 21:30:00",15.9833333333333,2,-1.82390874094432,0.122474487139159,-4.19970507787993
"54",54,"2013-09-16 09:35:00",0.044,"mg/L","2013-09-14 21:35:00",14.5572916666667,1.2,-1.35654732351381,0.20976176963403,-3.12356564506388
"55",55,"2013-10-22 09:30:00",0.024,"mg/L","2013-10-20 21:30:00",10.6666666666666,15.6,-1.61978875828839,0.154919333848297,-3.72970144863419
"56",56,"2014-04-08 14:30:00",0.045,"mg/L","2014-04-07 02:30:00",2.46666550917913,15.4,-1.34678748622466,0.212132034355964,-3.10109278921182
"57",57,"2014-05-01 11:50:00",0.023,"mg/L","2014-04-29 23:50:00",7.12291666666674,14,-1.63827216398241,0.151657508881031,-3.77226106305299
"58",58,"2016-09-19 09:20:00",0.017,"mg/L","2016-09-17 21:20:00",15.9333334166667,0,-1.76955107862173,0.130384048104053,-4.07454193492592
"59",59,"2016-11-28 09:30:00",0.005,"mg/L","2016-11-26 21:30:00",4.9250000000001,1.6,-2.30102999566398,0.0707106781186548,-5.29831736654804
"60",60,"2017-04-25 10:10:00",0.014,"mg/L","2017-04-23 22:10:00",9.125,14.4,-1.85387196432176,0.118321595661992,-4.26869794936688
"61",61,"2017-05-15 09:30:00",0.011,"mg/L","2017-05-13 21:30:00",10.5489583333333,0,-1.95860731484178,0.104880884817015,-4.50986000618377
"62",62,"2017-06-15 09:35:00",0.011,"mg/L","2017-06-13 21:35:00",16.5885416562499,0.2,-1.95860731484178,0.104880884817015,-4.50986000618377
"63",63,"2017-07-24 09:50:00",0.015,"mg/L","2017-07-22 21:50:00",17.4499998020833,1,-1.82390874094432,0.122474487139159,-4.19970507787993
"64",64,"2017-08-31 09:35:00",0.023,"mg/L","2017-08-29 21:35:00",15.5958333333333,0.4,-1.63827216398241,0.151657508881031,-3.77226106305299
"65",65,"2017-09-20 09:40:00",0.014,"mg/L","2017-09-18 21:40:00",15.8458333541667,1,-1.85387196432176,0.118321595661992,-4.26869794936688
"66",66,"2017-10-18 09:30:00",0.037,"mg/L","2017-10-16 21:30:00",11.7052083333334,0,-1.43179827593301,0.192353840616713,-3.29683736633791
"67",67,"2017-11-06 09:10:00",0.016,"mg/L","2017-11-04 21:10:00",8.25520833333336,0,-1.79588001734408,0.126491106406735,-4.13516655674236
"68",68,"2018-04-09 09:50:00",0.02,"mg/L","2018-04-07 21:50:00",1.3,0,-1.69897000433602,0.14142135623731,-3.91202300542815
"69",69,"2018-05-14 09:40:00",0.01,"mg/L","2018-05-12 21:40:00",10.8875,0,-2,0.1,-4.60517018598809
"70",70,"2018-06-19 09:40:00",0.02,"mg/L","2018-06-17 21:40:00",16.5937497916667,3.2,-1.69897000433602,0.14142135623731,-3.91202300542815
"71",71,"2018-07-23 08:45:00",0,"mg/L","2018-07-21 20:45:00",17.6875,13.6,0,0,0
"72",72,"2018-08-27 09:15:00",0.01,"mg/L","2018-08-25 21:15:00",17.597916375,16,-2,0.1,-4.60517018598809
"73",73,"2018-09-10 10:10:00",0.01,"mg/L","2018-09-08 22:10:00",16.3145835208333,17,-2,0.1,-4.60517018598809
"74",74,"2018-10-22 09:30:00",0.01,"mg/L","2018-10-20 21:30:00",8.65697569444405,0,-2,0.1,-4.60517018598809
"75",75,"2018-11-27 09:25:00",0,"mg/L","2018-11-25 21:25:00",2.59166666666667,44.8,0,0,0
"76",76,"2019-04-10 09:25:00",0.02,"mg/L","2019-04-08 21:25:00",3.725,0,-1.69897000433602,0.14142135623731,-3.91202300542815
